year,london_temp,global_temp
1750,10.25,8.72
1751,9.99,7.98
1752,6.54,5.78
1753,9.42,8.39
1754,9.20,8.47
1755,8.95,8.36
1756,9.42,8.85
1757,9.34,9.02
1758,8.85,6.74
1759,9.80,7.99
1760,9.26,7.19
1761,9.69,8.77
1762,8.99,8.61
1763,8.75,7.50
1764,9.14,8.40
1765,8.95,8.25
1766,9.07,8.41
1767,8.98,8.22
1768,9.12,6.78
1769,9.04,7.69
1770,9.03,7.69
1771,8.78,7.85
1772,9.36,8.19
1773,9.33,8.22
1774,9.10,8.77
1775,10.10,9.18
1776,9.21,8.30
1777,9.25,8.26
1778,9.80,8.54
1779,10.76,8.98
1780,9.67,9.43
1781,10.41,8.10
1782,8.44,7.90
1783,9.97,7.68
1784,8.29,7.86
1785,8.54,7.36
1786,8.35,8.26
1787,9.53,8.03
1788,9.39,8.45
1789,9.12,8.33
1790,9.67,7.98
1791,9.59,8.23
1792,9.56,8.09
1793,9.59,8.23
1794,10.00,8.53
1795,9.19,8.35
1796,9.50,8.27
1797,9.62,8.51
1798,9.83,8.67
1799,7.94,8.51
1800,9.32,8.48
1801,9.68,8.59
1802,9.31,8.58
1803,8.79,8.50
1804,9.37,8.84
1805,8.56,8.56
1806,9.87,8.43
1807,9.03,8.28
1808,8.91,7.63
1809,8.99,7.08
1810,8.97,6.92
1811,10.10,6.86
1812,8.58,7.05
1813,9.13,7.74
1814,7.93,7.59
1815,8.99,7.24
1816,7.98,6.94
1817,8.95,6.98
1818,9.88,7.83
1819,9.58,7.37
1820,8.61,7.62
1821,9.63,8.09
1822,10.36,8.19
1823,8.80,7.72
1824,9.65,8.55
1825,9.98,8.39
1826,10.12,8.36
1827,9.37,8.81
1828,10.10,8.17
1829,7.95,7.94
1830,8.78,8.52
1831,10.01,7.64
1832,9.24,7.45
1833,9.40,8.01
1834,10.59,8.15
1835,9.48,7.39
1836,9.04,7.70
1837,8.85,7.38
1838,8.05,7.51
1839,8.89,7.63
1840,8.68,7.80
1841,9.12,7.69
1842,9.43,8.02
1843,9.40,8.17
1844,8.85,7.65
1845,8.46,7.85
1846,10.48,8.55
1847,9.24,8.09
1848,9.52,7.98
1849,9.42,7.98
1850,9.06,7.90
1851,9.17,8.18
1852,9.96,8.10
1853,8.44,8.04
1854,9.30,8.21
1855,8.03,8.11
1856,9.17,8.00
1857,10.21,7.76
1858,9.20,8.10
1859,9.97,8.25
1860,8.17,7.96
1861,9.42,7.85
1862,9.56,7.56
1863,9.90,8.11
1864,8.74,7.98
1865,9.82,8.18
1866,9.69,8.29
1867,9.06,8.44
1868,10.50,8.25
1869,9.46,8.43
1870,8.94,8.20
1871,8.97,8.12
1872,10.07,8.19
1873,9.26,8.35
1874,9.37,8.43
1875,9.43,7.86
1876,9.75,8.08
1877,9.43,8.54
1878,9.47,8.83
1879,7.62,8.17
1880,9.35,8.12
